N	Wave	B0	B1	S	Sair
123	714.32070992576	0.0198176046135622	0.0233210476888842	0.119175617754304	0.158977989693498
124	717.6435390625	0.0197700578321396	0.0236735240846781	0.119123935945917	0.158829767585995
125	720.96566659424	0.0198195587510169	0.0233901863785194	0.119445113507291	0.159399391029982
126	724.28708065142	0.0197581105497991	0.0234672376051398	0.120365823698344	0.160610961821052
127	727.60776936448	0.0198018722367624	0.0236497156016339	0.121431721534465	0.162023890393667
128	730.92772086386	0.0197606153352723	0.0237182846961361	0.122436370455383	0.163553287666567
129	734.24692328	0.019825051796507	0.0233154210385875	0.123425873005096	0.164800315948857
130	737.56536474334	0.0197800255034479	0.0236420668275188	0.123992164276961	0.165603486909375
131	740.88303338432	0.0198159898330136	0.023673727274606	0.124168452749532	0.165939755454491
132	744.19991733338	0.0197818964155843	0.023479307680366	0.12400920878597	0.165630840710455
133	747.51600472096	0.0198210787907943	0.0234812772610844	0.123325447404052	0.164763499284789
134	750.8312836775	0.0197911181996051	0.0235180792512435	0.122225792380423	0.163314811532767
135	754.14574233344	0.0198075692453492	0.0234314906664619	0.120952613430384	0.161560132525436
136	757.45936881922	0.0197777314856573	0.0237665454461198	0.119290348190928	0.159338067893574
137	760.77215126528	0.0198069831785894	0.0236736167769906	0.117557338414739	0.157083994493896
138	764.08407780206	0.0197859639875917	0.023489883506638	0.115920109734931	0.154924224755113
139	767.39513656	0.019819766203645	0.023456602427858	0.114316968108443	0.152707787609917
140	770.70531566954	0.0197916896103341	0.0233972920908941	0.112665993046504	0.150538307374576
141	774.01460326112	0.0198263738053904	0.023466894765777	0.1109121478457	0.148145929285858
142	777.32298746518	0.0197818739081082	0.0235663834671139	0.109018256758739	0.145605558085428
143	780.63045641216	0.0198327303353682	0.0235438786115451	0.107030399658598	0.142914591730507
144	783.9369982325	0.0197954726110746	0.0235245441472736	0.104877795692349	0.140014250603034
145	787.24260105664	0.0198253400317815	0.0235450626641918	0.102479843846872	0.136725052950258
146	790.54725301502	0.0197710022737506	0.0234140957582804	0.099935376178787	0.133256442209371
147	793.85094223808	0.0198216578784918	0.0235283368513656	0.0972833751437788	0.129643475545165
148	797.15365685626	0.0197690793675998	0.0235545274046468	0.0944535788206571	0.125891526223861
149	800.455385	0.0198198061587768	0.0234847873496324	0.0916635516846941	0.122129870975885
150	803.75611479974	0.0197922034437988	0.0235729265668276	0.0889458488658999	0.118489762705934
151	807.05583438592	0.0198060561846343	0.0236637814418475	0.0862672388749329	0.114875498868332
152	810.35453188898	0.0197679688243052	0.0236077780035038	0.0836067474141738	0.111232965843332
153	813.65219543936	0.0198111392102119	0.0234093766547492	0.0809145466086786	0.107670049990057
154	816.9488131675	0.0197813272730506	0.0236134280450808	0.0782197586967023	0.10410358764697
155	820.24437320384	0.0198124490057363	0.0234741567109572	0.0755306510599069	0.10063268227872
156	823.53886367882	0.0197849260265454	0.0235900430489481	0.0728677950538091	0.0971084442976001
157	826.83227272288	0.019795594570189	0.0237302535255219	0.0701199706507536	0.0934776768398936
158	830.12458846646	0.0197880596255353	0.0235698689424489	0.0673163773869355	0.0898148652865743
159	833.41579904	0.0197881077810655	0.0236647544492857	0.0645146981082936	0.0861857613489556
160	836.70589257394	0.0197803751544711	0.0234531127630399	0.0617435598822204	0.082545168837673
161	839.99485719872	0.0198220286411785	0.0237332163628466	0.058978287738271	0.0788972276829021
162	843.28268104478	0.0197826365451453	0.0234892912184719	0.056288156447605	0.0752786650257627
163	846.56935224256	0.0198149680982873	0.023465516251292	0.0536402010161957	0.0717788543774711
164	849.8548589225	0.0197847016496912	0.0234904178402885	0.051103256477075	0.0684174695065152
165	853.13918921504	0.0198137408301751	0.0233960113310137	0.0487501452274011	0.0652541053422114
166	856.42233125062	0.0197869337283036	0.0233704375045496	0.0465078931983308	0.0622764713082178
167	859.70427315968	0.0198247944435832	0.0235052676375177	0.044487106513658	0.0595454422886493
168	862.98500307266	0.0197986110954082	0.0236598435023432	0.0425617621526068	0.0569754892109756
169	866.26450912	0.0198214169263645	0.023466106095593	0.040808678579823	0.0546595283367267
